,Sample_ID,Sample_Longitude,Sample_Latitude,log10-error
271,SSS017-1,-120.6553,46.6856,1.926063425120998
272,SSS017-2,-120.6553,46.6856,1.9247742695991588
273,SSS017-3,-120.6553,46.6856,1.9279131119975121
274,SSS018-1,-121.1357,47.0171,1.7917665980645208
275,SSS018-2,-121.1357,47.0171,1.762459680904561
276,SSS018-3,-121.1357,47.0171,1.7951207351055025
277,SSS019-1,-121.1285,47.0195,1.8296874553622922
278,SSS019-2,-121.1285,47.0195,1.775753563319091
279,SSS019-3,-121.1285,47.0195,1.7241911330459359
280,SSS020-1,-121.0983,46.9891,1.4421432833774
281,SSS020-2,-121.0983,46.9891,1.9688029323614127
282,SSS020-3,-121.0983,46.9891,1.5713424577827897
283,SSS021-1,-121.1082,47.3543,1.8021432769689616
284,SSS021-2,-121.1082,47.3543,1.7555538651316829
285,SSS021-3,-121.1082,47.3543,1.7331000108445516
286,SSS022-1,-121.1073,47.4636,1.7791635264525754
287,SSS022-2,-121.1073,47.4636,1.7772093612968611
288,SSS022-3,-121.1073,47.4636,1.7834748892559529
289,SSS023-1,-120.6423,46.8986,2.868425294158212
290,SSS023-2,-120.6423,46.8986,3.015819460043734
291,SSS023-3,-120.6423,46.8986,2.7044532193254285
292,SSS024-1,-120.7125,46.8331,2.0972529527141766
293,SSS024-2,-120.7125,46.8331,2.670662079754875
294,SSS024-3,-120.7125,46.8331,1.9913091374863567
295,SSS025-1,-120.1377,46.2752,2.515403932417769
296,SSS025-2,-120.1377,46.2752,2.605913808796872
297,SSS025-3,-120.1377,46.2752,2.6605859341694327
298,SSS026-1,-120.1991,46.3147,2.6337242784554746
299,SSS026-2,-120.1991,46.3147,2.5248287310833954
300,SSS026-3,-120.1991,46.3147,2.551531276861379
301,SSS027-1,-120.4197,46.2354,2.144957298256256
302,SSS027-2,-120.4197,46.2354,2.1430557503328758
303,SSS027-3,-120.4197,46.2354,2.1365718895961003
304,SSS028-1,-120.8717,46.2902,1.9842648864753156
305,SSS028-2,-120.8717,46.2902,2.013560614021727
306,SSS028-3,-120.8717,46.2902,2.011789043391044
307,SSS029-1,-120.7891,46.3111,2.0153966757557846
308,SSS029-2,-120.7891,46.3111,2.068144314638009
309,SSS029-3,-120.7891,46.3111,1.9873480573499758
310,SSS030-1,-120.6704,46.3656,2.0431481667557287
311,SSS030-2,-120.6704,46.3656,2.06113393957037
312,SSS030-3,-120.6704,46.3656,2.04240040444281
313,SSS031-1,-121.094,46.6674,1.7490665525423226
314,SSS031-2,-121.094,46.6674,1.7746877005747086
315,SSS031-3,-121.094,46.6674,1.755824534968002
316,SSS032-1,-121.2901,46.6399,1.766228335090861
317,SSS032-2,-121.2901,46.6399,1.7666744884126557
318,SSS032-3,-121.2901,46.6399,1.7699323494114851
319,SSS033-1,-121.2631,46.6382,1.7709497518856414
320,SSS033-2,-121.2631,46.6382,1.75901235679309
321,SSS033-3,-121.2631,46.6382,1.771831967262334
322,SSS034-1,-121.0977,47.3966,1.7794635054920147
323,SSS034-2,-121.0977,47.3966,1.7809043932727435
324,SSS034-3,-121.0977,47.3966,1.7814794124960183
325,SSS035-1,-121.104,47.3956,1.772333216234845
326,SSS035-2,-121.104,47.3956,1.7754034001295134
327,SSS035-3,-121.104,47.3956,1.78140757671528
328,SSS036-1,-120.7743,46.8674,2.0298492127587857
329,SSS036-2,-120.7743,46.8674,2.019302161048819
330,SSS036-3,-120.7743,46.8674,1.9862105220494788
331,SSS037-1,-120.6496,46.0168,1.9855148690921216
332,SSS037-2,-120.6496,46.0168,1.9576057741324269
333,SSS037-3,-120.6496,46.0168,1.9996510520422455
334,SSS038-1,-120.6364,46.029,2.0249883978580896
335,SSS038-2,-120.6364,46.029,2.018128312347659
336,SSS038-3,-120.6364,46.029,2.0032129083648402
337,SSS039-1,-120.6115,46.0284,2.004686739317699
338,SSS039-2,-120.6115,46.0284,1.9955694118149605
339,SSS039-3,-120.6115,46.0284,2.0101515143606212
340,SSS040-1,-120.9404,46.6833,1.8000750177727642
341,SSS040-2,-120.9404,46.6833,1.8190609040840091
342,SSS040-3,-120.9404,46.6833,1.8240387984338222
343,SSS041-1,-120.8135,46.7239,1.8114103371858086
344,SSS041-2,-120.8135,46.7239,1.79102666639279
345,SSS041-3,-120.8135,46.7239,1.8342644748806864
346,SSS042-1,-120.8041,46.7298,1.8647212646268585
347,SSS042-2,-120.8041,46.7298,1.8596511877491737
348,SSS042-3,-120.8041,46.7298,1.8709036699737907
349,SSS043-1,-121.2466,46.9006,1.7739611610866124
350,SSS043-2,-121.2466,46.9006,1.7692584058031717
351,SSS043-3,-121.2466,46.9006,1.7888320468112988
352,SSS044-1,-121.158,46.9754,1.771616579484244
353,SSS044-2,-121.158,46.9754,1.7788308232241854
354,SSS044-3,-121.158,46.9754,1.7857138374746244
355,SSS045-1,-121.1579,46.976,1.784360205154956
356,SSS045-2,-121.1579,46.976,1.7679269628942862
357,SSS045-3,-121.1579,46.976,1.7799135111429576
358,SSS046-1,-120.8346,47.1683,1.8809800323726855
359,SSS046-2,-120.8346,47.1683,1.6737499465807677
360,SSS046-3,-120.8346,47.1683,1.8640310272895302
361,SSS047-1,-120.9213,47.1857,1.9946805891785377
362,SSS047-2,-120.9213,47.1857,1.1804880479631104
363,SSS047-3,-120.9213,47.1857,1.9860665798488497
364,SSS048-1,-120.7334,47.0822,1.949808212304297
365,SSS048-2,-120.7334,47.0822,1.9530622521448433
366,SSS048-3,-120.7334,47.0822,1.9615416128104923
