RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
4.006,0.935,7.756,3,0.558143,1.27,6.15276,460,0,640,1059,125,449,55,190,32,1003,158,1717,508,78,518,17,182,59,38,90,41,88,90,0,0,8,26,0,0,0,0,0,0,0,83,7,8,42,45,51,48,96,119,75,62,87,0,0,7627,7828,0.001,0.026,0.143,0.107,0,0,0,0,0,1,25,28,0.055867,3.46763,948
26.803,6.446,50.751,4,1.163,16.82,32.3158,269,49,598,956,154,71,60,200,41,679,103,1615,445,73,519,-20,182,49,23,81,40,70,91,1,0,81,19,1,0,0,0,0,0,0,40,12,7,43,45,45,48,57,117,62,63,84,0,0,5332,4186,0.304,0.94,3.175,0.56,0,0,573,100,103,43,79,36,0.055867,54.8274,948
26.803,6.446,50.751,4,1.163,16.82,32.3158,269,49,598,956,154,71,60,200,41,679,103,1615,445,73,519,-20,182,49,23,81,40,70,91,1,0,81,19,1,0,0,0,0,0,0,40,12,7,43,45,45,48,57,117,62,63,84,0,0,5332,4186,0.304,0.94,3.175,0.56,0,0,573,100,103,43,79,36,0.055867,54.8274,948
26.803,6.446,50.751,4,1.163,16.82,32.3158,269,49,598,956,154,71,60,200,41,679,103,1615,445,73,519,-20,182,49,23,81,40,70,91,1,0,81,19,1,0,0,0,0,0,0,40,12,7,43,45,45,48,57,117,62,63,84,0,0,5332,4186,0.304,0.94,3.175,0.56,0,0,573,100,103,43,79,36,0.055867,54.8274,948
0.062,0.005,0.234,2,0.162217,5.52,0.246558,24,0,1021,263,73,62,111,220,107,209,27,224,185,32,197,-81,153,-79,1,8,2,53,16,45,60,9,7,34,26,0,0,0,0,0,0,16,16,38,37,46,47,17,17,20,25,22,0,0,837,748,0.294,0.867,17.348,10.139,0,0,1470,1400,246,256,150,106,0.055867,99.6699,948
0.062,0.005,0.234,2,0.162217,5.52,0.246558,24,0,1021,263,73,62,111,220,107,209,27,224,185,32,197,-81,153,-79,1,8,2,53,16,45,60,9,7,34,26,0,0,0,0,0,0,16,16,38,37,46,47,17,17,20,25,22,0,0,837,748,0.294,0.867,17.348,10.139,0,0,1470,1400,246,256,150,106,0.055867,99.6699,948
0.062,0.005,0.234,2,0.162217,5.52,0.246558,24,0,1021,263,73,62,111,220,107,209,27,224,185,32,197,-81,153,-79,1,8,2,53,16,45,60,9,7,34,26,0,0,0,0,0,0,16,16,38,37,46,47,17,17,20,25,22,0,0,837,748,0.294,0.867,17.348,10.139,0,0,1470,1400,246,256,150,106,0.055867,99.6699,948
