,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
DBE_O,1.037050197012118,1.0578749141160058,0.9914199724000884,1.0282657500445442,1.04546709291823,1.1006038851855933,1.0547677095948835,1.1288430526236597,1.0214764940668437,1.0198555338032984
hdi_ix_cav,1.0136566650475076,1.0906986682271964,1.005257397845725,1.034462895391217,1.0390860560358757,1.1085558289164392,1.0553669580475031,1.155144538383738,1.0154542763883945,1.0255788655455964
gdp_md_cav,1.0136566650475076,1.0906986682271964,1.005257397845725,1.034462895391217,1.0390860560358757,1.1085558289164392,1.0553669580475031,1.155144538383738,1.0154542763883945,1.0255788655455964
perc_AminoSugar,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Carb,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
delGcox0PerCmol,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
GFE,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
NOSC,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
delGcoxPerCmol,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
AI_Mod,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_ConHC,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Tannin,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Protein,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Lignin,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
DBE,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
lamO20,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
lamO2,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
delGd,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
delGd0,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Lipid,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
n_chems,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_Other,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
perc_UnsatHC,1.9241860341388808,2.944595142854772,2.3262905492181787,7.876342846848786,2.572013778026891,5.162750345024886,2.276312391833688,7.642568590981736,7.223770231333567,5.417508845881818
ire_pc_cse,1.0071071839687376,1.0535017793433346,1.00344141749954,1.017744535973303,1.021145033105496,1.0556831753752955,1.017932805479765,1.0494177197287962,1.0223490377612323,1.0135601408312365
ire_pc_use,1.0071071839687376,1.0535017793433346,1.00344141749954,1.017744535973303,1.021145033105496,1.0556831753752955,1.017932805479765,1.0494177197287962,1.0223490377612323,1.0135601408312365
Percent_Tot_Sand,1.2615477538931943,1.640907712761691,1.6584652330836094,1.7094641723301125,1.803472581131765,1.8838113614393164,1.4857114446483253,1.7165549699074971,1.5025563841126155,1.3749069285173372
Percent_Silt,1.2615477538931943,1.640907712761691,1.6584652330836094,1.7094641723301125,1.803472581131765,1.8838113614393164,1.4857114446483253,1.7165549699074971,1.5025563841126155,1.3749069285173372
Percent_Clay,1.2615477538931943,1.640907712761691,1.6584652330836094,1.7094641723301125,1.803472581131765,1.8838113614393164,1.4857114446483253,1.7165549699074971,1.5025563841126155,1.3749069285173372
Percent_Fine_Sand,1.2615477538931943,1.640907712761691,1.6584652330836094,1.7094641723301125,1.803472581131765,1.8838113614393164,1.4857114446483253,1.7165549699074971,1.5025563841126155,1.3749069285173372
Percent_Coarse_Sand,1.2615477538931943,1.640907712761691,1.6584652330836094,1.7094641723301125,1.803472581131765,1.8838113614393164,1.4857114446483253,1.7165549699074971,1.5025563841126155,1.3749069285173372
NPOC_Field_mg_per_L_as_C,1.0679326781598917,1.1834337478858623,1.3098078287404635,1.3152402452222431,1.2667530249808354,1.2779627352871292,1.209257729011495,1.3162264594065791,1.067930016916072,1.1158112305246837
NPOC_INC_mg_per_L_as_C,1.0679326781598917,1.1834337478858623,1.3098078287404635,1.3152402452222431,1.2667530249808354,1.2779627352871292,1.209257729011495,1.3162264594065791,1.067930016916072,1.1158112305246837
kar_pc_cse,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
kar_pc_use,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
Mean_DO_percent_saturation,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
Mean_DO_mg_per_L,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
crp_pc_use,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
crp_pc_cse,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
urb_pc_use,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
rdd_mk_uav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
ppd_pk_uav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
nli_ix_uav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
hft_ix_u09,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
nli_ix_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
hft_ix_c09,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
urb_pc_cse,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
ppd_pk_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
rdd_mk_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
pop_ct_csu,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
