,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
crp_pc_cse,0.2134931908645476,0.0902959630268403,0.2220748880066253,0.0182539052339662,0.061830071228408,0.0463573474896016,0.0562876745962099,0.0499743460737692,0.0428404031004126,0.0444247478153559
for_pc_cse,0.0966361642282971,0.0489137575380327,0.0602604248742559,0.0242023513726152,0.1227070203720738,0.1261310943361381,0.0411604838533383,0.1008794079228599,0.0609872435190558,0.1683731929686055
for_pc_use,0.0966361642282971,0.0489137575380327,0.0602604248742559,0.0242023513726152,0.1227070203720738,0.1261310943361381,0.0411604838533383,0.1008794079228599,0.0609872435190558,0.1683731929686055
pre_mm_cyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
cmi_ix_cyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
aet_mm_cdi,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
swc_pc_cyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
run_mm_cyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
aet_mm_cyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
aet_mm_uyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
cmi_ix_uyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
pre_mm_uyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
swc_pc_uyr,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
GL_lon,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
RA_lon,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
