,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
pst_pc_use,1.9978520592806923,1.321581297571649,1.146881640446639,1.1100299633465966,2.4031944346229883,2.274027206784016,3.140226176583844,3.60676848990595,1.1310653005543887,1.908902997377629
pst_pc_cse,1.9978520592806923,1.321581297571649,1.146881640446639,1.1100299633465966,2.4031944346229883,2.274027206784016,3.140226176583844,3.60676848990595,1.1310653005543887,1.908902997377629
pac_pc_use,1.5622022790580377,1.3872872220033494,2.217537762168166,1.3638763336489732,2.2083374358019165,2.3419945516681797,2.07198492996347,1.680616279419603,1.001789881310696,1.6790865158481412
pac_pc_cse,1.5622022790580377,1.3872872220033494,2.217537762168166,1.3638763336489732,2.2083374358019165,2.3419945516681797,2.07198492996347,1.680616279419603,1.001789881310696,1.6790865158481412
slt_pc_uav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
slt_pc_cav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
cly_pc_cav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
cly_pc_uav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
snd_pc_uav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
snd_pc_cav,2.1294329628773654,2.606109338766729,1.9062227536998253,1.881233946563712,4.345302965081761,4.374922248425914,3.428947041791929,6.660531664623871,1.312808170233484,2.1278719674623066
cmi_ix_cdi,2.0106244928225268,1.0742892750382975,1.008341004314966,1.491236930411381,1.989472850649046,3.1494663078310463,3.091508001176142,2.840242195526066,1.3340283335800345,1.4154194919002585
swc_pc_cdi,2.0106244928225268,1.0742892750382975,1.008341004314966,1.491236930411381,1.989472850649046,3.1494663078310463,3.091508001176142,2.840242195526066,1.3340283335800345,1.4154194919002585
tmp_dc_cdi,1.2568751321191527,1.0429351795056632,1.0944187971156911,1.4020900623743788,1.2620189380443476,1.1103264236310266,1.812410127470241,1.271241660238548,1.0192618657855343,1.2356554368164565
sgr_dk_rav,1.231308162147059,1.273086928499768,1.0211773328220677,1.0041190651685898,1.189057929203586,1.2932620467458888,1.5693316502422696,1.8607964909187615,1.2677892220787632,1.1917904939288406
ire_pc_use,1.8488911204496712,1.0052139427221314,1.000807432324969,0.9975360652189948,2.3130422989766317,1.6574339198097805,1.547597284132192,3.2491268353993235,1.0281955434100678,1.3242328749237595
ele_mt_cav,1.4196001050361662,1.2430045023145615,1.0234329019360322,1.0087630785771542,1.147442021349904,1.2670681902048115,2.213085560814207,1.686790247196276,1.0154398500681674,1.3096900285222923
dor_pc_pva,1.1288527543987794,1.0041787230998234,1.001100694982508,1.0005770175377708,1.1557644988703066,1.0906494171006291,1.2224356143347028,1.4393818421489974,0.9917661742583832,1.0640193191358065
hdi_ix_cav,1.1937246391986756,1.0044791304303389,1.002508049053058,1.0929679574924074,2.676932440217854,1.2987617672752414,1.6164659347685624,1.5720003284157205,1.0088126673854934,1.2335069803873175
RA_lm,1.5109879656053895,1.4755938788513143,1.6764852668652088,1.1977662471933854,1.9361165203480213,1.354686463375739,2.267958134066241,3.60414520339414,1.0330534811068364,1.5383395955842776
slp_dg_cav,1.4719387629407348,1.1735183767463344,1.0224130266707687,1.0628852178362789,3.771437639731929,2.239319874806565,2.541590630862173,2.1646185561263835,1.0535159452419876,1.488340575530781
gwt_cm_cav,2.036663746580472,1.197891197097802,1.1356874732651143,1.108281526678382,3.4453008336473188,2.981275928016371,2.5583047041829188,4.127441851359176,1.018577249359625,1.5272459891349888
gla_pc_use,1.0635504421280786,1.00200991736555,1.000844477335509,1.0001910380284682,1.107077991344557,1.04827812866048,1.159581485182728,1.1863380899785585,1.000265028742576,1.0587069883744853
gla_pc_cse,1.0098225517177284,1.0001764583897148,1.0,1.0,1.0168361306669151,1.0135785075293084,1.020357853558561,1.1875943361593486,0.999801350562993,1.0067155982356266
ire_pc_cse,1.6756153808364558,1.024736362612061,1.01061962212279,1.0058415170575328,1.686301302639465,1.5477029459117375,1.612290345636436,5.705354077534035,1.021518485994959,1.1368902399540692
gdp_md_cav,1.286499072927514,1.0121878681978909,1.01791550259545,1.0473202810379878,1.3335060891682426,1.4561759000851406,1.838026689367373,2.738475336326287,0.990489674733066,1.1368013124123182
